Nombre,Categoría,Dirección,Población,Teléfono,Web
"Tienda para mascotas Online Mascoteando","Tienda de productos para mascotas","","","684 34 15 95",""
"Tiendanimal","Tienda de productos para mascotas","Carrer del Ciment, nº 5, 08800, Barcelona","08800","937 00 67 57",""
"Mascot Center Abrera","Tienda de alimentos para animales","Av. Ca n'Amat, N° 10, nave 3, 08630 Abrera, Barcelona","Abrera","930 24 31 98",""
"Kiwoko. Mundo Animal","Tienda de productos para mascotas","Avinguda de la Comunitat Europea, 75, 08917 Badalona, Barcelona","Badalona","935 22 22 48",""
"By Mascota Badalona - Tienda & Peluquería Mascotas","Tienda de productos para mascotas","Carrer del Canonge Baranera, 73, 08911 Badalona, Barcelona","Badalona","614 51 21 38","https://www.instagram.com/bymascotabadalona?igsh=MWRtMmh6eWpuMGhvZw=="
"LoveAnimals Badalona","Tienda de productos para mascotas","Carrer dels Arbres, 39, 08912 Badalona, Barcelona","Badalona","722 61 39 64",""
"TerranovaCNC 21","Tienda de productos para mascotas","Avinguda del Marquès de Mont-Roig, 147, 08918 Badalona, Barcelona","Badalona","934 60 76 71","http://terranovacnc.com/"
"Juana Dog - Sant Pere","Tienda de productos para mascotas","Carrer de Sant Pere, 17, 08911 Badalona, Barcelona","Badalona","935 05 26 52","https://www.juanadog.com/"
"TerranovaCNC 143","Tienda de productos para mascotas","Av. de Martí Pujol, 211, 215, 08912 Badalona, Barcelona","Badalona","936 59 78 40",""
"Love Animal - Tienda de Mascotas en Badalona: Accesorios, Alimentos y Servicios para Animales","Tienda de animales","Carrer de Tànger, 12, 08917 Badalona, Barcelona","Badalona","670 42 04 27",""
"Can Mixo","Tienda de productos para mascotas","Carrer de Roger de Flor, 82, 08912 Badalona, Barcelona","Badalona","933 88 74 57",""
"Zoo Condal","Tienda de animales","Centro Comercial Magic, Carrer de la Concòrdia, 1, 08917 Badalona, Barcelona","Badalona","933 39 72 48","http://www.zoocondal.es/"
"RONDANIMAL´S","Tienda de productos para mascotas","Ronda de Sant Antoni de Llefià, 95, 08913 Badalona, Barcelona","Badalona","931 62 99 94","https://www.facebook.com/rondanimals/"
