Nombre,Dirección,Población,Teléfono,Web
"EUVET - Nutrición y Clínica veterinaria","","","638 11 89 42","https://euuvet.com/"
"Vetropía","","","","http://www.vetropia.com/"
"Fina Deumal Veterinaria Etóloga","","","644 69 08 40","https://api.whatsapp.com/send?phone=34644690840&text=Hola!"
"Ninvet","","","633 18 91 29","https://wa.beedigital.es/li/ninvet"
"Veterinario Canyelles. Vetmóvil S.L.M. Veterinarios domiclio. Veterinaria clínica móvil.","","","","http://instagram.com/vetmovils.l.m"
"Clínica Veterinària Sant Mori | MiVet","Av. d'Alfons XIII, 581, 08913 Badalona, Barcelona","Badalona","933 99 95 09","https://mivet.com/clinica-veterinaria-sant-mori-badalona/"
"Animalia Badalona Clínica Veterinària","Av. de Martí Pujol, 448, 08915 Badalona, Barcelona","Badalona","933 98 66 27","https://animaliabadalona.com/"
"CLINICA VETERINARIA BUFALA SCP","Av. Bufalà, 18, 08915 Badalona, Barcelona","Badalona","933 99 64 10",""
"Hospital Veterinario Montigalà","Passeig Olof Palme, 12, 08917 Badalona, Barcelona","Badalona","934 65 34 34","https://grupveterinarisantfrancescdassis.es/hospital-veterinario-montigala/"
"VETaDOM Veterinario a domicilio","Carrer de Coll i Pujol, 183, 08917 Badalona, Barcelona","Badalona","647 74 72 07","https://vets.wakyma.com/reservas/reservar-cita?veterinaryId=BEqZ8eALXz"
"Centro Veterinario San Antonio","Carrer de la Mare de Déu de Lorda, 47, 08913 Badalona, Barcelona","Badalona","933 98 00 23","https://www.centreveterinarisantantoni.com/ca/"
"Centre Veterinari Europa","Carrer de Londres, 2, 08914 Badalona, Barcelona","Badalona","934 60 17 29","http://cveuropa.es/"
"Vetalliance Badalona","Avinguda Sant Ignasi de Loiola, 12, 08912 Badalona, Barcelona","Badalona","930 16 17 01","https://vetalliance.cat/"
"Zoològic Veterinaris","Carrer de la Conquista, 74, 08912 Badalona, Barcelona","Badalona","933 88 53 54","https://www.zoologic.cat/"
"Veterinari Coll i Pujol Badalona","Carrer de Coll i Pujol, 183, 08917 Badalona, Barcelona","Badalona","936 03 14 77","https://vets.wakyma.com/reservas/reservar-cita?veterinaryId=BEqZ8eALXz"
"Centre Veterinari Juan Valera","Ctra. Antiga de València, 24, 08914 Badalona, Barcelona","Badalona","933 83 13 60","https://grupveterinarisantfrancescdassis.es/clinica-veterinaria-juan-valera/"
"Canitas Veterinaria Badalona - CC Montigalà (Centro de información)","Passeig Olof Palme, 36, 08917 Badalona, Barcelona","Badalona","918 31 00 10",""
"Clínica Veterinària Badalona","Carrer de Sant Miquel, 35, bj, 08911 Badalona, Barcelona","Badalona","933 84 25 12","http://www.clinicaveterinariabadalona.com/"
"Sant Adria artigues","08918 Badalona, Barcelona","Badalona","",""
"AniCura Canis I Felis Centre Veterinari","Carrer de l'Havana, 33, 08914 Badalona, Barcelona","Badalona","933 98 07 11","https://www.anicura.es/clinicas/canis-i-felis-centre-veterinari/"
"Centre Veterinari Mozart","Carrer de Mozart, 49, 08917 Badalona, Barcelona","Badalona","933 99 08 12","https://www.instagram.com/centreveterinarimozart/"
"Hospital Veterinario La Arca","Carrer de la Creu, 59, bj, 08912 Badalona, Barcelona","Badalona","934 64 09 92","http://www.hospitalveterinariarca.es/"
"VET A CASA - Veterinària a domicili","Carrer del Temple, 08911 Badalona, Barcelona","Badalona","699 18 65 22","https://www.vetacasa.com/contacte/"
"Animàlia Prevenció","Riera de Canyadó, 46, 08911 Badalona, Barcelona","Badalona","938 32 39 73","https://animaliabadalona.com/"
"Clínica Veterinària Betulia","Carrer d'Alfons XII 344 esquina, Carrer de Cervantes, 161, baixos, 08912 Badalona, Barcelona","Badalona","934 60 14 36","http://www.clinicabetulia.com/"
"AniCura Glòries Hospital Veterinario","Carrer de Bailèn, 28, local, Eixample, 08010 Barcelona","Barcelona","932 46 08 05","https://anicuraes.abupet.com/esabupet/client/index.html?CLINIC=GLORIES"
"Kiwoko. Mundo Animal","Carrer d'Aribau, 21, Eixample, 08011 Barcelona","Barcelona","935 48 09 20",""
"Clínica Veterinaria La Salut - Centro Veterinario Barcelona","Trav. de Dalt, 93, 95, Gràcia, 08024 Barcelona","Barcelona","628 10 97 23","https://www.lasalut.es/"
"Clínica Veterinària Poble Nou","Camí Antic de València, 18, Sant Martí, 08005 Barcelona","Barcelona","933 00 87 26","https://pide-cita-previa.evidensia.es/CVPoblenou-cp-portal"
"Clínica Valencia Veterinaris - Barcelona","Carrer de València, 600, Sant Martí, 08026 Barcelona","Barcelona","932 32 45 21","https://pide-cita-previa.evidensia.es/vet-valencia-cp-portal"
"Clínica Veterinaria Sant Andreu - Riera Alta","Carrer d'Irlanda, 5-9, Sant Andreu, 08030 Barcelona","Barcelona","933 11 53 72","https://pide-cita-previa.evidensia.es/cvsantandreu-cp-portal"
"BCN Clinica Veterinaria","Carrer del Segle XX, 7, Horta-Guinardó, 08041 Barcelona","Barcelona","934 08 61 04","http://www.vidavet.es/"
"Clínica Veterinaria Port Vell","Carrer de Sant Carles, 20, Ciutat Vella, 08003 Barcelona","Barcelona","932 21 50 69","http://clinicaveterinariaportvell.com/"
"Clínica Veterinaria Marina","Carrer de Salvador Espriu, 23, Sant Martí, 08005 Barcelona","Barcelona","932 25 49 38","https://cvetmarina.com/"
"CLINICA FELINA BARCELONA","Carrer del Marquès de Campo Sagrado, 12, bajos 3, Eixample, 08015 Barcelona","Barcelona","936 24 48 54","http://www.clinicafelinabarcelona.cat/"
"Clínica veterinaria San Gervasio","Pg. de St. Gervasi, 73, Sarrià-Sant Gervasi, 08022 Barcelona","Barcelona","934 18 89 37","https://cvetsantgervasi.com/es"
"Balmesvet Veterinaris Hospital 24 H.","Carrer de Balmes, 205, Sarrià-Sant Gervasi, 08006 Barcelona","Barcelona","931 17 31 73","https://www.balmesvet.com/"
"Clínica Veterinària Sant Pau - Riera Alta","Carrer de la Independència, 300, Sant Martí, 08026 Barcelona","Barcelona","934 55 71 30","https://pide-cita-previa.evidensia.es/cvsantpau-cp-portal"
"BarnaVets Clínica y Consultorio Veterinario","Carrer del Cardener, 28, Gràcia, 08024 Barcelona","Barcelona","935 12 54 76","http://www.barnavets.com/"
"Hospital Veterinario Montjuïc","Carrer de Mèxic, 30, Sants-Montjuïc, 08004 Barcelona","Barcelona","934 23 77 11","http://www.hvmontjuic.com/"
"Clínica Veterinària Borrell","Carrer del Comte Borrell, 157, Eixample, 08015 Barcelona","Barcelona","931 88 26 79","http://www.clinicaveterinariaborrell.com/"
"Clínica Veterinaria del Mar - Sicília","C. de Sicília, 125, Eixample, 08013 Barcelona","Barcelona","932 46 90 16","https://pide-cita-previa.evidensia.es/CVSicilia-GMB-Portal"
"Veterinae Clínica Veterinària","Carrer de Galileu, 314, Les Corts, 08028 Barcelona","Barcelona","931 87 03 20",""
"Clínica Veterinaria Veteros","Carrer d'Aragó, 39, Eixample, 08015 Barcelona","Barcelona","932 26 23 92","https://www.veterinariveteros.com/"
"CLÍNICA VETERINÀRIA ACE","Carrer del Maresme, 177, Sant Martí, 08020 Barcelona","Barcelona","930 32 08 21",""
